written_at,event_id,stream,source,payload_json
2026-07-17T01:54:27+00:00,d38ec5a3bf2e82bf337d5d6a,learning_events,ai_self_learning_runtime.py,"{""created_at"": ""2026-07-17T01:54:27.593151+00:00"", ""event"": ""SELF_LEARNING_CYCLE"", ""status"": ""OK"", ""ai_mode"": ""main"", ""ai_label"": ""AI"", ""mode"": ""BOOTSTRAP"", ""ai_picks"": 4, ""cycles"": 2, ""settled_samples"": 0, ""file"": ""C:\\Users\\MSI\\Desktop\\bot_upgrade\\2\\2\\betbot-main\\data\\ai_picks.csv""}"
2026-07-17T01:54:27+00:00,1ae869b9b475a5371c63bbe1,learning_events,ai_self_learning_runtime.py,"{""created_at"": ""2026-07-17T01:54:27.914358+00:00"", ""event"": ""SELF_LEARNING_CYCLE"", ""status"": ""OK"", ""ai_mode"": ""low"", ""ai_label"": ""AI LOW"", ""mode"": ""BOOTSTRAP"", ""ai_picks"": 12, ""cycles"": 2, ""settled_samples"": 0, ""file"": ""C:\\Users\\MSI\\Desktop\\bot_upgrade\\2\\2\\betbot-main\\data\\ai_low_picks.csv""}"
2026-07-17T01:54:28+00:00,6d15ee504e6979e61b75cc0a,learning_events,ai_self_learning_runtime.py,"{""created_at"": ""2026-07-17T01:54:28.134511+00:00"", ""event"": ""SELF_LEARNING_CYCLE"", ""status"": ""OK"", ""ai_mode"": ""risk"", ""ai_label"": ""AI RISK"", ""mode"": ""BOOTSTRAP"", ""ai_picks"": 12, ""cycles"": 2, ""settled_samples"": 0, ""file"": ""C:\\Users\\MSI\\Desktop\\bot_upgrade\\2\\2\\betbot-main\\data\\ai_risk_picks.csv""}"
