ai_id,pick_id,fixture_id,created_at,source,ai_mode,ai_label,league,match,market,odds,confidence,edge,ev,stake,ai_pick_score,risk,status,tempo,pressure,momentum,learning_adjustment,settled_samples,data_provenance,model_reason,ai_generated
AI-7233152,043234610c057f1a6ea7a408,1494215,2026-07-17T01:54:27.491178+00:00,AI_FIXTURE_UNIVERSE,main,AI,Allsvenskan,Mjallby AIF vs Vasteras SK FK,OVER_1.5,2.52,82.99,0.21,1.0914,20.0,82.99,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=83.0; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-2919896,71e9f4f40581032d290df36f,1492140,2026-07-17T01:54:27.491178+00:00,AI_FIXTURE_UNIVERSE,main,AI,Serie A,Bahia vs Chapecoense-sc,OVER_1.5,2.4,79.44,0.12,0.9065,20.0,79.44,MEDIUM,AI STRONG,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=79.4; mode=BOOTSTRAP; market=OVER_1.5; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-0230190,da43c791231e55c3066fd876,1494211,2026-07-17T01:54:27.491178+00:00,AI_FIXTURE_UNIVERSE,main,AI,Allsvenskan,IFK Goteborg vs IF Brommapojkarna,DOUBLE_X2,1.91,66.42,0.27,0.2687,20.0,66.42,MEDIUM,AI VALUE,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=66.4; mode=BOOTSTRAP; market=DOUBLE_X2; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
AI-6918493,6c16cb82aa3c0871948f37a9,1492297,2026-07-17T01:54:27.491178+00:00,AI_FIXTURE_UNIVERSE,main,AI,Serie A,Mirassol vs Gremio,DOUBLE_X2,1.86,63.37,0.18,0.1788,20.0,63.37,MEDIUM,AI WATCH,,,,0.0,0,VERIFIED_PREMATCH_PICK+SETTLED_HISTORY,Self-learning score=63.4; mode=BOOTSTRAP; market=DOUBLE_X2; league_w=0.0; market_w=0.0; dane skopiowane z typu źródłowego,True
