pick_id,fixture_id,odds_event_id,home_team,away_team,home,away,match_date,minute,score,data,liga,league,country,mecz,match,market,signal,typ,bookmaker,odds_api_market,closing_outcome_name,kurs_buk,odds,kurs_model,kurs_bota,fair_odds,prawd_model,prawd_rynek,prawd_final,confidence,xg_probability,bayesian_probability,ensemble_probability,edge,ev,ev_percent,kelly_full,kelly_25,stage_kelly_fraction,recommended_stake,stake,home_xg,away_xg,tempo_score,tempo_level,pressure,momentum,tempo_data_verified,data_provenance,market_movement,market_direction,market_signal,clv_percent,clv_status,filter_status,filter_reason,marza_sum,marza_%,risk_level,ai_risk,risk,sharp_score,sharp_label,sharp_signals,stage_a_probability,advanced_total_xg,advanced_over25_prob,momentum_score,momentum_label,confidence_calibrated_v2,meta_probability,meta_weight_model,meta_weight_market,meta_weight_xg,meta_weight_momentum,meta_weight_sharp,dynamic_stake,ai_pick_score,best_pick,best_pick_label,status,bot_mode,bot_label
8086760cf7c0d2af2b1c50b2,1547975,,Feyenoord,Charleroi,Feyenoord,Charleroi,2026-07-17T11:30:00+00:00,,None-None,2026-07-17 03:51,Friendlies Clubs / World,Friendlies Clubs,World,Feyenoord vs Charleroi,Feyenoord vs Charleroi,BTTS_YES,BTTS Yes,BTTS Yes,Betano,btts,Yes,1.53,1.53,1.37,1.43,1.43,0.7279,0.625,0.7014,70.14,0.7278860707796402,0.7124531601626941,0.691,0.1223,0.0732,7.32,0.1381,0.0345,0.1381,20.0,20.0,1.75,2.05,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0458,4.58,TOP,MEDIUM,MEDIUM,0,NEUTRAL,NO_SHARP_SIGNAL,0.7014272121138858,3.8,97.0,0.0,LOW,75.74,69.94,0.3,0.2,0.2,0.15,0.15,20.0,42.98,False,STANDARD,NS,low,PREMATCH LOW
d8a178fdf12a62d6362fc116,1523204,,Henan Jianye,Qingdao Jonoon,Henan Jianye,Qingdao Jonoon,2026-07-17T11:35:00+00:00,,None-None,2026-07-17 03:51,Super League / China,Super League,China,Henan Jianye vs Qingdao Jonoon,Henan Jianye vs Qingdao Jonoon,OVER_1.5,Over 1.5,Over 1.5,Betano,totals,Over,2.3,2.3,1.17,1.21,1.21,0.8561,0.7626,0.8285,82.85,0.8560772981632615,0.8420619882684937,0.8226,0.0863,0.9055,90.55,0.6965,0.05,0.6965,20.0,20.0,1.62,1.72,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.5701,-42.99,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8284833917879455,3.34,97.0,0.0,LOW,86.61,82.91,0.3,0.2,0.2,0.15,0.15,27.6,65.73,True,BEST PICK,NS,low,PREMATCH LOW
6d3a3337552df2281dd0023b,1528653,,Dongguan United,Nantong Zhiyun,Dongguan United,Nantong Zhiyun,2026-07-17T11:30:00+00:00,,None-None,2026-07-17 03:51,League One / China,League One,China,Dongguan United vs Nantong Zhiyun,Dongguan United vs Nantong Zhiyun,UNDER_4.5,Under 4.5,Under 4.5,1xBet,totals,Under,2.18,2.18,1.11,1.15,1.15,0.9003,0.805,0.8713,87.13,0.9003320183617407,0.8860335572890538,0.8662,0.0823,0.8994,89.94,0.7622,0.05,0.7622,20.0,20.0,0.99,1.44,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.5698,-43.02,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8712934901023375,2.43,81.0,0.0,LOW,87.25,87.26,0.3,0.2,0.2,0.15,0.15,27.6,67.18,True,BEST PICK,NS,low,PREMATCH LOW
585c547e36066c82e0343fe9,1527103,,West Torrens Birkalla,Para Hills Knights,West Torrens Birkalla,Para Hills Knights,2026-07-17T10:30:00+00:00,,None-None,2026-07-17 03:51,South Australia NPL / Australia,South Australia NPL,Australia,West Torrens Birkalla vs Para Hills Knights,West Torrens Birkalla vs Para Hills Knights,OVER_2.5,Over 2.5,Over 2.5,Betfair,totals,Over,2.5,2.5,1.29,1.32,1.32,0.7761,0.7059,0.7551,75.51,0.7760881232509691,0.7655572577045001,0.7509,0.0698,0.8878,88.78,0.5919,0.05,0.5919,20.0,20.0,3.15,0.95,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.5667,-43.33,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.75513008039315,4.1,97.0,0.0,LOW,82.31,75.58,0.3,0.2,0.2,0.15,0.15,27.6,61.7,True,VALUE PICK,NS,low,PREMATCH LOW
8c7140f3e22867035c1f3280,1547981,,FC Nordsjaelland,Sparta Praha,FC Nordsjaelland,Sparta Praha,2026-07-17T10:00:00+00:00,,None-None,2026-07-17 03:51,Friendlies Clubs / World,Friendlies Clubs,World,FC Nordsjaelland vs Sparta Praha,FC Nordsjaelland vs Sparta Praha,OVER_1.5,Over 1.5,Over 1.5,Betano,totals,Over,2.18,2.18,1.21,1.24,1.24,0.8289,0.7488,0.8047,80.47,0.8289458689048248,0.8169311775091933,0.8002,0.0746,0.7543,75.43,0.6392,0.05,0.6392,20.0,20.0,1.04,2.09,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6126,-38.74,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8047118242564353,3.13,97.0,0.0,LOW,83.39,80.57,0.3,0.2,0.2,0.15,0.15,27.6,61.06,True,VALUE PICK,NS,low,PREMATCH LOW
16c242b04bbbcc3096501c1b,1519406,,Orense SC,Emelec,Orense SC,Emelec,2026-07-17T00:00:00+00:00,90,0-1,2026-07-17 03:50,Liga Pro / Ecuador,Liga Pro,Ecuador,Orense SC vs Emelec,Orense SC vs Emelec,OVER_1.5,Over 1.5,Over 1.5,Pinnacle,totals,Over,3.35,3.35,1.92,1.96,1.96,0.5198,0.4806,0.5113,51.13,0.5197706830179987,0.5138981038211128,0.5057,0.0638,0.7128,71.28,0.3033,0.05,0.3033,20.0,20.0,0.75,0.95,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6211,-37.89,LOW,HIGH,HIGH,0,NEUTRAL,NO_SHARP_SIGNAL,0.511288672674779,1.7,56.67,0.0,LOW,48.33,50.94,0.3,0.2,0.2,0.15,0.15,23.0,42.76,False,STANDARD,2H,low,PREMATCH LOW
38f3da2b857f6aba54a3b741,1490327,,St. Louis City,Sporting Kansas City,St. Louis City,Sporting Kansas City,2026-07-17T00:30:00+00:00,45,2-1,2026-07-17 03:50,Major League Soccer / USA,Major League Soccer,USA,St. Louis City vs Sporting Kansas City,St. Louis City vs Sporting Kansas City,OVER_1.5,Over 1.5,Over 1.5,Betano,totals,Over,2.07,2.07,1.18,1.22,1.22,0.8447,0.7718,0.8216,82.16,0.8447464444720436,0.8338007402047651,0.8186,0.0645,0.7007,70.07,0.6549,0.05,0.6549,20.0,20.0,2.05,1.2,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6259,-37.41,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8215905181433355,3.25,97.0,0.0,LOW,85.56,82.32,0.3,0.2,0.2,0.15,0.15,27.6,60.87,True,VALUE PICK,HT,low,PREMATCH LOW
eb093db44d800ebdb49ae293,1522148,,Melbourne Knights,Brunswick City,Melbourne Knights,Brunswick City,2026-07-17T10:30:00+00:00,,None-None,2026-07-17 03:51,Victoria NPL 2 / Australia,Victoria NPL 2,Australia,Melbourne Knights vs Brunswick City,Melbourne Knights vs Brunswick City,OVER_1.5,Over 1.5,Over 1.5,Pinnacle,totals,Over,2.04,2.04,1.21,1.25,1.25,0.8254,0.7364,0.7994,79.94,0.8253993979535593,0.8120546045395951,0.7935,0.0856,0.6309,63.09,0.6066,0.05,0.6066,20.0,20.0,1.95,1.15,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.6656,-33.44,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.7994382231777165,3.1,97.0,0.0,LOW,82.74,79.98,0.3,0.2,0.2,0.15,0.15,27.6,58.43,True,VALUE PICK,NS,low,PREMATCH LOW
9e375d054199cbac430b355b,1526575,,Santo Domingo,Deportivo Cuenca Juniors,Santo Domingo,Deportivo Cuenca Juniors,2026-07-17T00:00:00+00:00,90,0-1,2026-07-17 03:50,Liga Pro Serie B / Ecuador,Liga Pro Serie B,Ecuador,Santo Domingo vs Deportivo Cuenca Juniors,Santo Domingo vs Deportivo Cuenca Juniors,OVER_0.5,Over 0.5,Over 0.5,Marathonbet,totals,Over,1.66,1.66,1.18,1.22,1.22,0.8443,0.7526,0.8173,81.73,0.8442810255537666,0.8305300788742038,0.8114,0.086,0.3568,35.68,0.5405,0.05,0.5405,20.0,20.0,1.05,0.9,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,0.8004,-19.96,LOW,LOW,LOW,0,NEUTRAL,NO_SHARP_SIGNAL,0.8173210552119426,1.95,65.0,0.0,LOW,79.93,81.79,0.3,0.2,0.2,0.15,0.15,27.6,53.02,True,VALUE PICK,2H,low,PREMATCH LOW
71d7facd987f1e6d29a28af6,1516060,,Navbahor,Olmaliq,Navbahor,Olmaliq,2026-07-17T15:00:00+00:00,,None-None,2026-07-17 03:52,Super League / Uzbekistan,Super League,Uzbekistan,Navbahor vs Olmaliq,Navbahor vs Olmaliq,DOUBLE_X2,X2,X2,BetVictor,double_chance,Draw/Away,2.05,2.05,1.65,1.73,1.73,0.6048,0.4878,0.5784,57.84,0.6047814515999923,0.5872349655673106,0.5629,0.1858,0.1858,18.58,0.1769,0.0442,0.1769,20.0,20.0,1.25,1.05,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0,0.0,LOW,HIGH,HIGH,0,NEUTRAL,NO_SHARP_SIGNAL,0.5784344758971174,2.3,76.67,0.0,LOW,57.44,57.35,0.3,0.2,0.2,0.15,0.15,23.0,38.19,False,STANDARD,NS,low,PREMATCH LOW
88fca7638e0295a8556468c2,1516062,,Pakhtakor,Lokomotiv,Pakhtakor,Lokomotiv,2026-07-17T15:00:00+00:00,,None-None,2026-07-17 03:52,Super League / Uzbekistan,Super League,Uzbekistan,Pakhtakor vs Lokomotiv,Pakhtakor vs Lokomotiv,DOUBLE_X2,X2,X2,BetVictor,double_chance,Draw/Away,2.25,2.25,1.92,1.98,1.98,0.5213,0.4444,0.5051,50.51,0.5212761131645911,0.5097513628565691,0.4937,0.1364,0.1364,13.64,0.1092,0.0273,0.1092,20.0,20.0,1.65,1.15,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0,0.0,LOW,HIGH,HIGH,0,NEUTRAL,NO_SHARP_SIGNAL,0.5050859539995983,2.8,93.33,0.0,LOW,52.11,50.11,0.3,0.2,0.2,0.15,0.15,23.0,32.84,False,STANDARD,NS,low,PREMATCH LOW
ffd738c0f457487af9f2390d,1522144,,Northcote City,Manningham United Blues,Northcote City,Manningham United Blues,2026-07-17T10:30:00+00:00,,None-None,2026-07-17 03:51,Victoria NPL 2 / Australia,Victoria NPL 2,Australia,Northcote City vs Manningham United Blues,Northcote City vs Manningham United Blues,DOUBLE_X2,X2,X2,Betfair,double_chance,Draw/Away,2.25,2.25,1.93,1.99,1.99,0.5194,0.4444,0.5037,50.37,0.5194478670613132,0.5081973536687828,0.4926,0.1333,0.1333,13.33,0.1067,0.0267,0.1067,20.0,20.0,1.75,1.25,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0,0.0,LOW,HIGH,HIGH,0,NEUTRAL,NO_SHARP_SIGNAL,0.503698147568148,3.0,97.0,0.0,LOW,52.77,49.97,0.3,0.2,0.2,0.15,0.15,23.0,32.81,False,STANDARD,NS,low,PREMATCH LOW
240766037ff975a42a8b675c,1521981,,Bentleigh Greens,Dandenong City,Bentleigh Greens,Dandenong City,2026-07-17T09:30:00+00:00,,None-None,2026-07-17 03:50,Victoria NPL / Australia,Victoria NPL,Australia,Bentleigh Greens vs Dandenong City,Bentleigh Greens vs Dandenong City,DOUBLE_X2,X2,X2,Betano,double_chance,Draw/Away,1.3,1.3,1.14,1.18,1.18,0.8768,0.7692,0.8458,84.58,0.8767746017127656,0.8606430268404661,0.8382,0.0995,0.0995,9.95,0.3317,0.05,0.3317,20.0,20.0,0.9,2.3,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0,0.0,LOW,MEDIUM,MEDIUM,0,NEUTRAL,NO_SHARP_SIGNAL,0.8457801187883263,3.2,97.0,0.0,LOW,87.78,84.6,0.3,0.2,0.2,0.15,0.15,27.6,50.64,True,VALUE PICK,NS,low,PREMATCH LOW
cb0bd3dab5ff2be5f1d269d7,1584864,,Jong AZ,Jong Ajax,Jong AZ,Jong Ajax,2026-07-17T10:00:00+00:00,,None-None,2026-07-17 03:51,Friendlies Clubs / World,Friendlies Clubs,World,Jong AZ vs Jong Ajax,Jong AZ vs Jong Ajax,DOUBLE_1X,1X,1X,Betfair,double_chance,Home/Draw,1.57,1.57,1.38,1.43,1.43,0.7222,0.6369,0.6995,69.95,0.7222052293633574,0.7094158462327391,0.6917,0.0982,0.0982,9.82,0.1723,0.0431,0.1723,20.0,20.0,2.35,1.73,,NO_DATA,,,False,API_FOOTBALL_FIXTURES+API_FOOTBALL_ODDS+API_FOOTBALL_TEAM_RESULTS,0.0,STABLE,NO_SIGNAL,0,PENDING_CLV,ACCEPTED,ACCEPTED,1.0,0.0,LOW,MEDIUM,MEDIUM,0,NEUTRAL,NO_SHARP_SIGNAL,0.6995110923629173,4.08,97.0,0.0,LOW,76.67,69.83,0.3,0.2,0.2,0.15,0.15,23.0,43.24,False,STANDARD,NS,low,PREMATCH LOW
