created_at,event,status,ai_mode,ai_label,mode,ai_picks,cycles,settled_samples,file
2026-07-17T01:54:28.134511+00:00,SELF_LEARNING_CYCLE,OK,risk,AI RISK,BOOTSTRAP,12,2,0,C:\Users\MSI\Desktop\bot_upgrade\2\2\betbot-main\data\ai_risk_picks.csv
2026-07-17T01:38:53.797660+00:00,SELF_LEARNING_CYCLE,OK,risk,AI RISK,BOOTSTRAP,0,2,0,C:\Users\MSI\Desktop\bot_upgrade\1\1\betbot-main\data\ai_risk_picks.csv
